-idSol,typeBat,typeProdChauffage,chauffLieEcsApTrav,-resTypeProd,-resEmetteurChauffage,-resRegulChauffage,-resRecomChauffage
59,*,"pacEauEau,pacAirEau,pacAirAir,reseauChaleur",*,nonPrioritaire,,,
1,LC,*,"oui,non",reseauChaleur,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe"
2,LC,*,"oui,non",reseauChaleur,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe"
3,LC,*,"oui,non",reseauChaleur,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe"
4,LC,*,oui,pacDoubleSrv,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe"
5,LC,*,oui,pacDoubleSrv,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe"
6,LC,*,oui,pacDoubleSrv,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe"
7,LC,*,"oui,non",chaudiereBiomasse,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe"
8,LC,*,"oui,non",chaudiereBiomasse,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe"
9,LC,*,"oui,non",chaudiereBiomasse,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe"
10,LC,*,oui,pacAirEauEcsEnr,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe"
11,LC,*,oui,pacAirEauEcsEnr,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe"
12,LC,*,oui,pacAirEauEcsEnr,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe"
13,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Col,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
14,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Col,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
15,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Col,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe,respectChaudGaz"
16,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
17,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
18,LC,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe,respectChaudGaz"
19,LC,*,oui,pacAbsorbGazEcsEnr,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
20,LC,*,oui,pacAbsorbGazEcsEnr,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
21,LC,*,oui,pacAbsorbGazEcsEnr,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe,respectChaudGaz"
22,LC,*,non,pacAirAir,ventiloConvecteur,,
26,LC,*,non,pacAirEau,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe"
27,LC,*,non,pacAirEau,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe"
28,LC,*,non,pacAirEau,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe"
38,LC,!pacEauEau&!pacAirEau&!pacAirAir,non,#radiateurElec,radiateurElec,,
39,MI,*,oui,pacDoubleSrv,planchChauf,vaneRegul,calorClasse4
40,MI,*,oui,pacDoubleSrv,radiateurBT,robinetThermosTemp,calorClasse4
41,MI,*,oui,pacDoubleSrv,emetMurauxExist,"robinetThermosTemp,verifAdequation",calorClasse4
42,MI,*,"oui,non",chaudiereBiomasse,planchChauf,vaneRegul,calorClasse4
43,MI,*,"oui,non",chaudiereBiomasse,radiateurBT,robinetThermosTemp,calorClasse4
44,MI,*,"oui,non",chaudiereBiomasse,emetMurauxExist,"robinetThermosTemp,verifAdequation",calorClasse4
45,MI,*,oui,reseauChaleur,planchChauf,vaneRegul,calorClasse4
46,MI,*,oui,reseauChaleur,radiateurBT,robinetThermosTemp,calorClasse4
47,MI,*,oui,reseauChaleur,emetMurauxExist,"robinetThermosTemp,verifAdequation",calorClasse4
48,MI,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,planchChauf,vaneRegul,calorClasse4
49,MI,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,radiateurBT,robinetThermosTemp,calorClasse4
50,MI,!radiateurElec&!planchChaufElec&!pacEauEau&!pacAirEau&!pacAirAir,"oui,non",chaudiereGazCondensationNs90Ind,emetMurauxExist,"robinetThermosTemp,verifAdequation",calorClasse4
51,MI,*,non,pacAirEau,planchChauf,vaneRegul,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
52,MI,*,non,pacAirEau,radiateurBT,robinetThermosTemp,"calorClasse4,isolationVolNonChauffe,respectChaudGaz"
53,MI,*,non,pacAirEau,emetMurauxExist,"robinetThermosTemp,verifAdequation","calorClasse4,isolationVolNonChauffe,respectChaudGaz"
54,MI,*,non,pacAirAir,ventiloConvecteur,,
55,MI,*,non,appareilIndepBois,#appareilIndepBois,,
100,*,*,*,nonTraite,,,
