-idPerf,nomLot,typeBat,resTypeIsoMur,contactPlancherHaut,zoneClim,-objectif
1,menuiserie,*,*,*,H1,"1,3"
2,menuiserie,*,*,*,H2,"1,3"
3,menuiserie,*,*,*,H3,"1,5"
4,mur,LC,ite,*,H1,"4,2"
5,mur,LC,ite,*,H2,"4,2"
6,mur,LC,ite,*,H3,"3,7"
4,mur,LC,"iti,expertise",*,H1,"3,7"
5,mur,LC,"iti,expertise",*,H2,"3,7"
6,mur,LC,"iti,expertise",*,H3,"3,7"
4,mur,MI,ite,*,H1,"4,4"
5,mur,MI,ite,*,H2,"4,4"
6,mur,MI,ite,*,H3,4
4,mur,MI,"iti,expertise",*,H1,"3,9"
5,mur,MI,"iti,expertise",*,H2,"3,7"
6,mur,MI,"iti,expertise",*,H3,"3,7"
7,plancherHaut,*,*,rampant,H1,7
8,plancherHaut,*,*,rampant,H2,7
9,plancherHaut,*,*,rampant,H3,"6,5"
10,plancherHaut,*,*,comblePerdu,H1,8
11,plancherHaut,*,*,comblePerdu,H2,8
12,plancherHaut,*,*,comblePerdu,H3,7
13,plancherHaut,LC,*,toitTerrase,H1,"5,5"
14,plancherHaut,LC,*,toitTerrase,H2,"5,5"
15,plancherHaut,LC,*,toitTerrase,H3,"5,5"
22,plancherHaut,MI,*,toitTerrase,H1,8
23,plancherHaut,MI,*,toitTerrase,H2,8
24,plancherHaut,MI,*,toitTerrase,H3,7
25,plancherBas,LC,*,*,*,3
26,plancherBas,MI,*,*,*,4
