id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
1,H1a,1,0,400,non,"11712,4",744,"38,36","2,6","7,8"
2,H1a,2,0,400,non,"9966,8",672,"37,47","3,5","5,5"
3,H1a,3,0,400,non,"7922,7",738,"77,61","7,7","6,9"
4,H1a,4,0,400,non,"5877,4",695,"86,79","10,3","9,1"
5,H1a,5,0,400,non,2762,438,"53,63","13,2","11,4"
6,H1a,6,0,400,non,0,0,0,0,"15,1"
7,H1a,7,0,400,non,0,0,0,0,"16,1"
8,H1a,8,0,400,non,0,0,0,0,"17,8"
9,H1a,9,0,400,non,"2264,1",402,"54,18","13,6","15,9"
10,H1a,10,0,400,non,"3645,4",644,"61,45","13,8","14,7"
11,H1a,11,0,400,non,6861,715,"43,04","8,8","12,5"
12,H1a,12,0,400,non,"9573,3",744,"34,26",5,"9,2"
13,H1b,1,0,400,non,"10180,7",744,"31,13","4,7","6,9"
14,H1b,2,0,400,non,"8874,7",672,"45,92","5,2","6,1"
15,H1b,3,0,400,non,"8207,7",737,"61,88","7,3","6,4"
16,H1b,4,0,400,non,"5914,4",664,"79,71","10,3","7,6"
17,H1b,5,0,400,non,"3555,9",558,"86,58","14,4","11,3"
18,H1b,6,0,400,non,"104,7",24,"1,39","13,6","14,9"
19,H1b,7,0,400,non,0,0,0,0,"16,9"
20,H1b,8,0,400,non,0,0,0,0,"17,3"
21,H1b,9,0,400,non,"215,8",47,"3,04","14,5","16,8"
22,H1b,10,0,400,non,"4109,7",568,"61,93","12,3","14,6"
23,H1b,11,0,400,non,"8473,8",720,"33,95","6,6","10,5"
24,H1b,12,0,400,non,"10452,5",744,"37,72","3,8","7,9"
25,H1c,1,0,400,non,"10855,3",741,"47,86","3,8","6,1"
26,H1c,2,0,400,non,"9690,3",672,"55,9","3,9","4,4"
27,H1c,3,0,400,non,"7369,8",730,"91,2","8,5","8,5"
28,H1c,4,0,400,non,"5072,2",640,"86,83","11,6",9
29,H1c,5,0,400,non,"2340,3",499,"81,59","16,6","14,1"
30,H1c,6,0,400,non,410,71,"11,4","14,7","15,7"
31,H1c,7,0,400,non,0,0,0,0,"18,2"
32,H1c,8,0,400,non,0,0,0,0,"18,8"
33,H1c,9,0,400,non,0,0,0,0,18
34,H1c,10,0,400,non,"3330,7",396,"39,01",12,"15,8"
35,H1c,11,0,400,non,7720,717,"45,76","7,6","11,3"
36,H1c,12,0,400,non,"10884,4",744,"33,59","3,2","7,3"
37,H2a,1,0,400,non,"9307,3",744,"39,47","5,8","8,9"
38,H2a,2,0,400,non,"9402,9",672,"61,19","4,4","7,2"
39,H2a,3,0,400,non,"7252,2",727,"95,11","8,6","8,2"
40,H2a,4,0,400,non,"5896,3",698,"84,18","10,2","9,6"
41,H2a,5,0,400,non,"3619,8",636,"87,48","13,8","11,1"
42,H2a,6,0,400,non,"880,2",179,"29,28","15,4","16,3"
43,H2a,7,0,400,non,0,0,0,0,"18,7"
44,H2a,8,0,400,non,0,0,0,0,"17,1"
45,H2a,9,0,400,non,"1608,5",269,"44,42",14,"18,2"
46,H2a,10,0,400,non,"4334,8",693,"61,93","12,6","15,9"
47,H2a,11,0,400,non,6404,720,"63,38","9,4","13,3"
