-idTypo,anneeConstr,choixEner,-NonUtilise_ReliéAuSystèmeDeChauffage,-typeEcs,-nonUtile_ballonAccu,-typeReseauEcs,-part,-idSol,-nonUtlie_NumSol_V15,-nonUtlie_NumSol_V6,-etape
1,av1948,elec,Non,elec,oui,individuel,100,3,1,2,2
2,av1948,gazIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
3,av1948,gazColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
4,av1948,fioulIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
5,av1948,fioulColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
6,av1948,urbain,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
7,ap1949,elec,Non,elec,oui,individuel,100,3,1,2,2
8,ap1949,gazIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
9,ap1949,gazColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
10,ap1949,fioulIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
11,ap1949,fioulColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
12,ap1949,urbain,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
13,ap1975,elec,Non,elec,oui,individuel,100,3,1,2,2
14,ap1975,gazIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
15,ap1975,gazColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
16,ap1975,fioulIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
17,ap1975,fioulColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
18,ap1975,urbain,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
19,ap1982,elec,Non,elec,oui,individuel,100,3,1,2,2
20,ap1982,gazIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
21,ap1982,gazColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
22,ap1982,fioulIndiv,Oui,connectChauf,oui,individuel,100,5,4,1,2
23,ap1982,fioulColl,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
24,ap1982,urbain,Oui,connectChauf,oui,collectifNonIsole,100,5,4,1,2
25,ap1990,elec,Non,elec,oui,individuel,100,3,1,2,2
26,ap1990,gazIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
27,ap1990,gazColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
28,ap1990,fioulIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
29,ap1990,fioulColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
30,ap1990,urbain,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
31,ap2001,elec,Non,elec,oui,individuel,100,3,1,2,2
32,ap2001,gazIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
33,ap2001,gazColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
34,ap2001,fioulIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
35,ap2001,fioulColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
36,ap2001,urbain,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
37,ap2012,elec,Non,elec,oui,individuel,100,3,1,2,2
38,ap2012,gazIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
39,ap2012,gazColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
40,ap2012,fioulIndiv,Oui,connectChauf,non,individuel,100,5,4,1,2
41,ap2012,fioulColl,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
42,ap2012,urbain,Oui,connectChauf,non,collectifIsole,100,5,4,1,2
