-idTypo,typoBat,-chauffageDependantVentilation,-typeVentilation,-part,-idSol,-nomUtileNumSol,-etape
1,maisRuralAv1948,autre,sans,100,20,2,1
2,maisBourgAv1948,autre,sans,100,20,2,1
3,pavBanlAv1948,autre,sans,100,20,2,1
4,pavBanlRecons1948_1974,autre,sans,100,20,2,1
5,pav1968_1974,autre,sans,100,20,2,1
6,pav1975_1985,autre,auto,100,20,2,1
7,haussmanAv1948,autre,sans,100,13,2,1
8,immDeBougAv1948,autre,auto,100,8,2,1
9,immBougeoisAv1948,autre,sans,100,13,2,1
10,petitColl1948_1974,autre,sans,100,13,2,1
11,barres1948_1974,autre,sans,100,13,2,1
12,barres1975_1981,autre,auto,100,8,2,1
13,echopeBordPleinPiedAv1948,autre,sans,100,20,2,1
14,echopeBordRP1_1948,autre,sans,100,20,2,1
